AAPL_x,AAPL_y
1,3.1416059
2,3.1416013
3,3.1415994
4,3.1415985
5,3.141598
6,3.1415977
7,3.1415975
8,3.1415973
9,3.1415973
10,3.1415973
11,3.1415973
12,3.1415973
13,3.1415973
14,3.1415973
15,3.1415973
16,3.141597
17,3.141597
18,3.141597
19,3.141597
20,3.141597
21,3.141597
22,3.141597
23,3.141597
24,3.141597
25,3.141597
26,3.141597
27,3.141597
28,3.141597
29,3.141597
30,3.141597
31,3.141597
32,3.141597
33,3.141597
34,3.141597
35,3.141597
36,3.141597
37,3.141597
38,3.141597
39,3.141597
40,3.141597
41,3.141597
42,3.141597
43,3.141597
44,3.141597
45,3.141597
46,3.141597
47,3.141597
48,3.141597
49,3.141597
50,3.141597
51,3.141597
52,3.141597
53,3.141597
54,3.141597
55,3.141597
56,3.141597
57,3.141597
58,3.141597
59,3.141597
60,3.141597
61,3.141597
62,3.141597
63,3.141597
64,3.141597
65,3.141597
66,3.141597
67,3.141597
68,3.141597
69,3.141597
70,3.141597
71,3.141597
72,3.141597
73,3.141597
74,3.141597
75,3.141597
76,3.141597
77,3.141597
78,3.141597
79,3.141597
80,3.141597
81,3.141597
82,3.141597
83,3.141597
84,3.141597
85,3.141597
86,3.141597
87,3.141597
88,3.141597
89,3.141597
90,3.141597
91,3.141597
92,3.141597
93,3.141597
94,3.141597
95,3.141597
96,3.141597
97,3.141597
98,3.141597
99,3.141597
100,3.141597
101,3.141597
102,3.141597
103,3.141597
104,3.141597
105,3.141597
106,3.141597
107,3.141597
108,3.141597
109,3.141597
110,3.141597
111,3.141597
112,3.141597
113,3.141597
114,3.141597
115,3.141597
116,3.141597
117,3.141597
118,3.141597
119,3.141597
120,3.141597
121,3.141597
122,3.141597
123,3.141597
124,3.141597
125,3.141597
126,3.141597
127,3.141597
128,3.141597
129,3.141597
130,3.141597
131,3.141597
132,3.141597
133,3.141597
134,3.141597
135,3.141597
136,3.141597
137,3.141597
138,3.141597
139,3.141597
140,3.141597
141,3.141597
142,3.141597
143,3.141597
144,3.141597
145,3.141597
146,3.141597
147,3.141597
148,3.141597
149,3.141597
150,3.141597
151,3.141597
152,3.141597
153,3.141597
154,3.141597
155,3.141597
156,3.141597
157,3.141597
158,3.141597
159,3.141597
160,3.141597
161,3.141597
162,3.141597
163,3.141597
164,3.141597
165,3.141597
166,3.141597
167,3.141597
168,3.1415968
169,3.1415968
170,3.1415968
171,3.1415968
172,3.1415968
173,3.1415968
174,3.1415968
175,3.1415968
176,3.1415968
177,3.1415968
178,3.1415968
179,3.1415968
180,3.1415968
181,3.1415968
182,3.1415968
183,3.1415968
184,3.1415968
185,3.1415968
186,3.1415968
187,3.1415968
188,3.1415968
189,3.1415968
190,3.1415968
191,3.1415968
192,3.1415968
193,3.1415968
194,3.1415968
195,3.1415968
196,3.1415968
197,3.1415968
198,3.1415968
199,3.1415968
200,3.1415968
201,3.1415968
202,3.1415968
203,3.1415968
204,3.1415968
205,3.1415968
206,3.1415968
207,3.1415968
208,3.1415968
209,3.1415968
210,3.1415968
211,3.1415968
212,3.1415968
213,3.1415968
214,3.1415968
215,3.1415968
216,3.1415968
217,3.1415968
218,3.1415968
219,3.1415968
220,3.1415968
221,3.1415968
222,3.1415968
223,3.1415968
224,3.1415968
225,3.1415968
226,3.1415968
227,3.1415968
228,3.1415968
229,3.1415968
230,3.1415968
231,3.1415968
232,3.1415968
233,3.1415968
234,3.1415968
235,3.1415968
